COSING Ref No;INCI name;INN name;Ph. Eur. Name;CAS No;EC No;Chem/IUPAC Name / Description;Restriction;Function;Update Date
99740;(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT;;;;;"(Betula Platyphylla/Cinnamomum Cassia) Bark/(Achyranthes Japonica/Scutellaria Baicalensis/Valeriana Amurensis) Root/Biancaea Sappan Trunk Extract is the extract of the bark of Betula platyphylla and Cinnamomum cassia; the roots of Achyranthes japonica, Scutellaria baicalensis, and Valeriana amurensis; and the trunk of Biancaea sappan.";;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
96671;(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT;;;;;(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract is the extract of the flowers, leaves and stems of Bidens tripartita , the leaves of Perilla frutescens and the whole plant, Prunella vulgaris.;;SKIN CONDITIONING;3/29/19
100247;(BIFIDOBACTERIUM LYSATE & POLOXAMER 407) EXTRACT;;;;;(Bifidobacterium Lysate & Poloxamer 407) Extract is the extract of the mixture of a lysate of Bifidobacterium obtained through fermentation and Poloxamer 407.;;SKIN CONDITIONING - HUMECTANT;10/7/21
96818;(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE;;;;;(Bifidobacterium/Polysorbate 80 Ferment + Lactobacillus/Polysorbate 80 Ferment) Lysate Filtrate is the filtrate of a lysate of the mixture of the products obtained through the fermentation of Bifidobacterium with Polysorbate 80, and through the fermentation of Lactobacillus with polysorbate 80.;;SKIN CONDITIONING;3/29/19
99248;(BROCCOLI/CABBAGE/ERUCA SATIVA/RADISH) SPROUT/MORINGA OLEIFERA LEAF EXTRACT;;;;;"(Broccoli/Cabbage/Eruca Sativa/Radish) Sprout/Moringa Oleifera Leaf Extract is the extract of the sprouts of Brassica oleracea italica, Brassica oleracea capitata, Eruca sativa and Raphanus sativa; and the leaves of Moringa oleifera.";;ANTIOXIDANT;2/19/21
97166;(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT;;;;;(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract is the extract of the sprouts of Brassica oleracea italica, Eruca sativa , Lepidium sativum , Nasturtium officinale and Raphanus sativus.;;SKIN CONDITIONING, SKIN PROTECTING;3/29/19
94110;(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT;;;;;"This is the extract of the flowers of Calendula officinalis , and Carthamus tinctorius (safflower); the flower, leaves and stems of Achillea millefolium ; the fruits of Vaccinium myrtillus , and Vitex agnus-castus ; the gall of Rhus chinensis ; the husks of Juglans regia (walnut); the leaves of Camellia sinensis , and Urtica dioica (nettle); the leaves and stems of Juniperus communis ; the nuts of Aesculus hippocastanum (horse chestnut); the roots of Dichroa febrifuga ; the seeds of Vitis vinifera (grape); the whole plants, Hypericum perforatum , and Solidago virgaurea (goldenrod).";;HAIR DYEING;5/24/16
94144;(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT;;;;;"This is the extract of the flowers of Camellia japonica , Carthamus tinctorius (safflower), and Prunus mume ; the fruits of Aronia arbutifolia , Euterpe oleracea , Vaccinium angustifolium (blueberry), and Vaccinium macrocarpon (cranberry); the leaves of Camellia sinensis ; the peel of Garcinia mangostana ; the seeds of Coffea arabica (coffee); propolis, and wine.";;SKIN CONDITIONING;5/24/16
94450;(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT;;;;;"This is the extract of the product obtained by the fermentation of the flowers and leaves of Cananga odorata ; the fruiting bodies of Ganoderma lucidum ; the leaves of Corchorus olitorius , Lawsonia inermis (henna), Melia azadirachta , Morus alba , Muntingia calabura , Psidium guajava , and Tamarindus indica ; the leaves and peels of Citrus hystrix ; the leaves and stems of Cymbopogon nardus (citronella), Cymbopogon schoenanthus , and Ocimum tenuiflorum ; the rhizomes of Alpinia galanga , Boesenbergia rotunda , Curcuma longa (turmeric), and Zingiber officinale (ginger); and the roots of Zingiber cassumunar.";;SKIN CONDITIONING;9/9/16
89269;(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT;;;;;(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract is the extract of the flowers of Carthamus tinctorius, Chamomilla recutita, Syzygium aromaticum and the roots of Lithospermum erythrorhizon, Sophora flavescens , and Scutellaria baicalensis;;;10/8/12
99525;(CINNAMOMUM CASSIA/MAGNOLIA OFFICINALIS) BARK/(ALPINIA OFFICINARUM/ANGELICA GIGAS) ROOT EXTRACT;;;;;(Cinnamomum Cassia/Magnolia Officinalis) Bark/(Alpinia Officinarum/Angelica Gigas) Root Extract is the extract of the bark of Cinnamomum cassia and Magnolia officinalis , and of the roots of Alpinia officinarum and Angelica gigas.;;ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS, SKIN PROTECTING;7/13/21
96366;(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT;;;;;(Citrus Aurantium Amara/Forsythia Suspensa) Fruit/Scutellaria Baicalensis Root Extract is the extract of the fruits of Citrus aurantium amara and Forsythia suspensa and the roots of Scutellaria baicalensis.;;SKIN CONDITIONING;3/29/19
97164;(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT;;;;;(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract is the extract of the roots of Cnidium officinale , Coptis chinensis and Glycyrrhiza uralensis;;SKIN CONDITIONING;3/29/19
90383;(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT;;;;;"(Codonopsis Tangshen/Dioscorea Japonica) Root/Atractyloides Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract is the extract of the roots of Codonopsis tangshen and Dioscorea japonica ; the rhizomes of Atractyloides japonica ; the whole plant, Poria cocos ; and the seeds of Dolichos lablab, Coix Lacryma-Jobi Ma-yuen, Euryale Ferox and Nelumbo nucifera.";;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING;11/8/17
99553;(CORNUS OFFICINALIS/LYCIUM CHINENSE/MORUS BOMBYCIS/RICE/SCHISANDRA CHINENSIS/ZIZYPHUS JUJUBA) FRUIT/(CAMELLIA SINENSIS/DIOSPYROS KAKI/GINKGO BILOBA/PERILLA FRUTESCENS) LEAF/CITRUS UNSHIU PEEL/(CODONOPSIS LANCEOLATA/CYNANCHUM WILFORDII/PANAX GINSENG/PLATYCODON GRANDIFLORUM/PLEUROPTERUS MULTIFLORUS/POLYGONATUM ODORATUM) ROOT/GLYCINE MAX SEED/(ELEUTHEROCOCCUS SENTICOSUS/LICORICE) STEM/(ARTEMISIA ANNUA/HOUTTUYNIA CORDATA) STEM/LEAF/CIRSIUM JAPONICUM/DANDELION/LAMINARIA DIGITATA/TARAXACUM PLATYCARPUM WATER;;;;;"This is an aqueous solution of the steam distillates obtained from the fruits of Cornus officinalis , Lycium chinense , Morus bombycis , Oryza sativa , Schisandra chinensis , and Zizyphus jujuba; the leaves of Camellia sinensis, Diospyros kaki, Ginkgo biloba , and Perilla frutescens ; the peel of Citrus unshiu; the roots of Codonopsis lanceolata, Cynanchum wilfordii, Panax ginseng , Platycodon grandiflorum, Pleuropterus multiflorus , and Polygonatum odoratum; the seeds of Glycine max; the stems of Eleutherococcus senticosus , and Glycyrrhiza uralensis; the stems and leaves of Artemisia annua , and Houttuynia cordata; the whole plants, Cirsium japonicum, Laminaria digitata, Taraxacum officinale and Taraxacum platycarpum. The accepted scientific name for Morus bombycis is Morus alba, and Citrus unshiu is Citrus reticulata.";;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
98157;(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT;;;;;(Cryptomeria Japonica/Chamaecyparis Obtusa) Stem Ferment Extract is the extract of the product obtained by the spontaneous fermentation of the stems of Cryptomeria japonica and Chamaecyparis obtusa.;;ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT;4/24/20
99616;(CURCUMA LONGA/GLYCYRRHIZA URALENSIS) ROOT EXTRACT;;;;;(Curcuma Longa/Glycyrrhiza Uralensis) Root Extract is the extract of the roots of Curcuma longa and Glycyrrhiza uralensis.;;ANTIOXIDANT;7/13/21
97165;(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT;;;;;(Eclipta Prostrata/Houttuynia Cordata) Leaf Extract is the extract of the leaves of Eclipta prostrata and Houttuynia cordata.;;SKIN CONDITIONING;3/29/19
99271;(EUTERPE OLERACEA/EUTERPE PRECATORIA) FRUIT EXTRACT;;;;;(Euterpe Oleracea/Euterpe Precatoria) Fruit Extract is the extract of the fruit of Euterpe oleracea and Euterpe precatoria.;;SKIN CONDITIONING - HUMECTANT;3/19/21
99272;(EUTERPE OLERACEA/EUTERPE PRECATORIA/THEOBROMA GRANDIFLORUM) FRUIT EXTRACT;;;;;(Euterpe Oleracea/Euterpe Precatoria/Theobroma Grandiflorum) Fruit Extract is the extract of the fruits of Euterpe oleracea, Euterpe precatoria and Theobroma grandiflorum.;;SKIN CONDITIONING - HUMECTANT;3/19/21
93903;(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES;;;;;(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Vermiculophylla)/Pterocladiella Tenuis Oligosaccharides are the oligosaccharides produced by the enzymatic degradation of Agar that is obtained from Gelidium elegans, Pterocladiella tenuis, Gelidium sesquipedale, Gelidium rex, Gelidium lingulatum, Gracilaria vermiculophylla, Gracilaria chilensis and Hydropuntia eucheumatoides.;;HUMECTANT, SKIN CONDITIONING;4/30/18
99153;(GLYCYRRHIZA URALENSIS (LICORICE)/HEDYCHIUM SPICATUM/SCUTELLARIA BAICALENSIS) ROOT EXTRACT;;;;;(Glycyrrhiza Uralensis (Licorice)/Hedychium Spicatum/Scutellaria Baicalensis) Root Extract is the extract of the roots of Glycyrrhiza uralensis, Hedychium spicatum and Scutellaria baicalensis.;;SKIN CONDITIONING - HUMECTANT;2/19/21
99531;(GRIFOLA FRONDOSA/ INONOTUS OBLIQUUS/ SCHIZOPHYLLUM COMMUNE/ TRICHOLOMA MATSUTAKE) MYCELIUM /LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE;;;;;(Grifola Frondosa/ Inonotus Obliquus/ Schizophyllum Commune/ Tricholoma Matsutake) Mycelium /Lethariella Cladonioides Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Grifola frondosa, Inonotus obliquus, Schizophyllum commune, Tricholoma matsutake mycelium, and the lichen, Lethariella cladoniodes.;;SKIN CONDITIONING - HUMECTANT;7/13/21
92134;(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE;;;;;(Grifola Frondosa (Maitake)/ Inonotus Obliquus (Mushroom)/ Schizophyllum Commune/ Tricholoma Matsutake) Mycelium /Lethariella Cladonioides Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Grifola frondosa, Inonotus obliquus, Schizophyllum commune, Tricholoma matsutake mycelium, and the lichen, Lethariella cladoniodes.;;HUMECTANT, SKIN CONDITIONING;7/16/18
97168;(HONEY + ZYMOMONAS FERMENT) EXTRACT;;;;;(Honey + Zymomonas Ferment) Extract is the extract of a mixture of honey with the product obtained through the fermentation of Zymomonas.;;SKIN CONDITIONING;3/26/19
99645;(HYLOCEREUS UNDATUS/ACTINIDIA CHINENSIS) PEEL EXTRACT;;;;;(Hylocereus Undatus/Actinidia Chinensis) Peel Extract is the extract obtained from the peels of Actinidia chinensis and Hylocereus undatus.;;ANTIOXIDANT;7/13/21
98516;(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE;;;;;(Lactobacillus/Millet Seed Flour Ferment & Panicum Miliaceum Seed Extract) Filtrate is a filtrate of the product obtained by the fermentation of a mixture of Panicum Miliaceum Seed Extract and Panicum Miliaceum Seed Flour, by the microorganism Lactobacillus.;;SKIN CONDITIONING;6/3/20
96819;(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE;;;;;(Lactobacillus/Polysorbate 80 Ferment + Leuconostoc/Polysorbate 80 Ferment) Lysate Filtrate is the filtrate of a lysate of the mixture of the products obtained through the fermentation of Lactobacillus with Polysorbate 80, and through the fermentation of Leuconostoc with polysorbate 80.;;SKIN CONDITIONING;3/29/19
93671;(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT;;;;;(Lavandula Angustifolia/Melissa Officinalis/Hypericum Perforatum) Flower/(Camellia Sinensis Leaf/(Glycyrrhiza Glabra/Acanthopanax Senticosus) Root/Sarracenia Cobra Nest Leaf/Flower/Stalk Extract. This is the extract of the flowers of Lavandula angustifolia, Melissa officinalis, Hypericum perforatum , the leaves of Camellia sinensis , the roots of Glycyrrhiza glabra, Acanthopanax senticosus , and the leaves, flowers and stalk of Sarracenia 'Cobra Nest';;ANTI-SEBUM, ANTIMICROBIAL, SKIN CONDITIONING, SKIN PROTECTING;11/8/17
89457;(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER;;;;;(Lepidium Meyenii/Sarcodon Aspratus) Root Water is the aqueous solution of the steam distillates obtained from the roots of Lepidium meyenii and Sarcodon aspratus;;ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING;11/19/12
97163;(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT;;;;;"This is the extract of the bark of Lespedeza bicolor and Phellodendron amurense ; the leaves of Mentha arvensis ; the roots of Anemarrhena asphodeloides and Scutellaria baicalensis.";;SKIN CONDITIONING;3/29/19
96674;(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT;;;;;(Licorice/Reynoutria Japonica) Root/Stem Extract is the extract of the roots and stems of Glycyrrhiza uralensis and Reynoutria japonica.;;ANTIOXIDANT;3/29/19
90728;(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT;;;;;(Lindera Strychnifolia/Paeonia Albiflora) Root/Commiphora Myrrha Resin/Swertia Japonica/Uncaria Gambir Extract is the extract of the roots of Lindera strychnifolia and Paeonia albiflora , Commiphora Myrrha Resin and the whole plants, Swertia japonica and Uncaria gambir.;;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT;11/8/17
94895;(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT;;;;;(Liquidambar Formosana/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of Liquidambar formosana and Tribulus terrestris, and the roots of Paeonia lactiflora.;;SKIN CONDITIONING;12/1/17
99518;(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER;;;;;(Magnolia Officinalis/Phellodendron Amurense) Bark/Camellia Japonica Leaf/Zingiber Officinale Root/Citrus Paradisi Seed Water is the aqueous solution obtained from the steam distillates of the bark of Magnolia officinalis and Phellodendron amurense , the roots of Zingiber officinale and the seeds of Citrus paradisi. The accepted scientific name for Citrus paradisi is Citrus x aurantium.;;ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS;7/13/21
100140;(MORUS ALBA FRUIT/SUCROSE FERMENT FILTRATE) POLYGONUM MULTIFLORUM ROOT EXTRACT FERMENT FILTRATE;;;;;(Morus Alba Fruit/Sucrose Ferment Filtrate) Polygonum Multiflorum Root Extract Ferment Filtrate is a filtrate of the product obtained by the spontaneous fermentation of the fruit of Morus alba and sucrose, which subsequently undergoes spontaneous fermentation with Polygonum Multiflorum Root Extract, followed by filtration.;;HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING;9/28/21
99587;(OLIVE FLOWER/LEAF)/(DITTRICHIA VISCOSA/MALLOW/PARIETARIA OFFICINALIS/SAGE FLOWER/LEAF/STEM)/(ECBALLIUM ELATERIUM FRUIT/LEAF)/(AGAVE AMERICANA/CYNARA CARDUNCULUS/MASTIC LEAF)/(ACANTHUS MOLLIS/RHAGADOLIUS STELLATUS/VERBASCUM SINUATUM/VERBENA OFFICINALIS LEAF/FLOWER)/(MORINGA OLEIFERA LEAF/SHOOT)/(ARTEMISIA ARBORESCENS/THYMUS CAPITATUS LEAF/STEM)/(LYCIUM BARBARUM SHOOT/FRUIT/LEAF/STEM) EXTRACT;;;;;"Definition: This is the extract of the flowers and leaves of Olea europaea; the flowers, leaves, and stems of Dittrichia viscosa; the flowers, leaves, and stems of Malva sylvestris, Parietaria officinalis, and Salvia officinalis; the fruits and leaves of Ecballium elaterium; the leaves of Agave americana , Cynara cardunculus, and Pistacia lentiscus; the leaves and flowers of Acanthus mollis, Rhagadolius stellatus, Verbascum sinuatum, and Verbena officinalis ; the leaves and shoots of Moringa oleifera; the leaves and stems of Artemisia arborescens and Thymus capitatus; the shoots, fruits, leaves, and stems of Lycium barbarum.";;ANTIOXIDANT, HAIR CONDITIONING, ORAL CARE, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING;7/13/21
95360;(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT;;;;;"This is the extract of the bark of Paeonia lactiflora , and Phellodendron amurense ; the sap of Paeonia lactiflora ; the leaves of Mentha arvensis ; and the roots of Scutellaria baicalensis.";;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT;10/30/17
100120;(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/SCUTELLARIA BAICALENSIS ROOT/MENTHA ARVENSIS EXTRACT;;;;;"(Paeonia Lactiflora Bark/Sap)/Phellodendron Amurense Bark/Scutellaria Baicalensis Root/Mentha Arvensis Extract Definition: This is the extract of the bark of Paeonia lactiflora , and Phellodendron amurense ; the sap of Paeonia lactiflora ; the roots of Scutellaria baicalensis and the whole plant Mentha arvensis.";;SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT, SKIN CONDITIONING - MISCELLANEOUS;9/24/21
97167;(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT;;;;;(Panax Ginseng Meristem Cell + Taxus Cuspidata Meristem Cell Culture Conditioned Media + Panax Ginseng Leaf/Root/Stem Powder) Extract is the extract of the mixture of Panax Ginseng Meristem Cell, Taxus Cuspidata Meristem Cell Culture Conditioned Media dried, and the dried, ground leaves, roots and stems of Panax ginseng.;;ANTIOXIDANT;3/29/19
99523;(POLYGONUM MULTIFLORUM/GASTRODIA ELATA) STEM/ANGELICA KEISKEI LEAF/STEM/PTEROCARPUS SANTALINUS BARK/ZIZYPHUS JUJUBA SEED/THUJA ORIENTALIS FRUIT/ULMUS DAVIDIANA BARK/ROOT/(LIRIOPE PLATYPHYLLA/ADENOPHORA TRIPHYLLA) ROOT WATER;;;;;Definition: (Polygonum Multiflorum/Gastrodia Elata) Stem/Angelica Keiskei Leaf/Stem/Pterocarpus Santalinus Bark/Zizyphus Jujuba Seed/Thuja Orientalis Fruit/Ulmus Davidiana Bark/Root/(Liriope Platyphylla/Adenophora Triphylla) Root Water is the aqueous solution of the steam distillates obtained from the stems of Polygonum multiflorum and Gastrodia elata , the leaves and stems of Angelica keiskei , the bark of Pterocarpus santalinus , the seeds of Zizyphus jujuba , the fruit of Thuja orientalis , the bark and roots of Ulmus davidiana , and the roots of Liriope platyphylla and Adenophora triphylla. The accepted scientific name for Polygonum multiflorum is Fallopia multiflora , and for Liriope platyphylla is Liriope muscari.;;ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING - HUMECTANT;7/13/21
97098;(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP;;;;;(sh-Pentapeptide-10 6-Aminocaprooyl sh-Pentapeptide-11) SP is the synthetic peptide consisting of sh-Pentapeptide-10 SP and sh-Pentapeptide-11 SP linked with 6-Aminocaproic Acid.;;HUMECTANT, SKIN CONDITIONING;3/29/19
99713;(VETIVERIA ZIZANOIDES ROOT/PUERARIA THUNBERGIANA FLOWER/LEAF/STEM) WATER;;;;;(Vetiveria Zizanoides Root/Pueraria Thunbergiana Flower/Leaf/Stem) Water is the aqueous solution of the steam distillates obtained from the roots of Vetiveria zizanoides, and the flowers, leaves and stems of Pueraria thunbergiana.;;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
39661;1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE;;; 59354-71-1; 261-715-3;1,1-Dimethyl-2-phenylethyl 2-methylpropanoate;;PERFUMING;3/2/11
39242;1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE;;; 10031-71-7; 233-092-8;1,1-Dimethyl-3-phenylpropyl 2-methylpropanoate;;PERFUMING;3/2/11
54168;1,10-DECANEDIOL;;; 112-47-0; 203-975-2;Decamethylene Glycol;;SOLVENT;10/15/10
40512;1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL;;; 41199-19-3; 255-256-8;1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthol;;PERFUMING;3/2/11
40507;1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE;;; 65405-72-3; 265-742-1;1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-tetramethyl-1-naphthyl formate;;PERFUMING;3/2/11
31464;1,2,4-BENZENETRIACETATE;;; 613-03-6; 210-327-2;Benzene-1,2,4-triyl triacetate;II/1254;HAIR DYEING;10/15/10
31465;1,2,4-TRIHYDROXYBENZENE;;; 533-73-3; 208-575-1;Benzene-1,2,4-triol;;HAIR DYEING;7/28/20
31466;1,2,6-HEXANETRIOL;;; 106-69-4; 203-424-6;Hexane-1,2,6-triol;;HUMECTANT, SOLVENT, VISCOSITY CONTROLLING;11/18/16
97358;1,2-BIS-(2-AMINOETHOXY)ETHANE;;;;;Bis-Aminoethyl Glycol,Ethanamine, 2,2'-[1,2-ethanediylbis(oxy)]bis-;;NOT REPORTED;10/3/19
54169;1,2-BUTANEDIOL;;; 584-03-2; 209-527-2;;;HUMECTANT, SKIN CONDITIONING, SOLVENT, VISCOSITY CONTROLLING;10/15/10
39563;1,2-DIHYDROLINALOOL;;; 18479-51-1; 242-359-8;3,7-Dimethyloct-6-en-3-ol;;PERFUMING;3/2/11
99899;1,2-HEPTANEDIOL;;; 3710-31-4; 855-780-2;Monograph development in progress. 1,2-Heptanediol is the organic compound that conforms to the formula:;;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
54170;1,2-HEXANEDIOL;;; 6920-22-5; 230-029-6;;;SKIN CONDITIONING, SOLVENT;5/16/19
91167;1,2-HEXANEDIYL DICAPRATE;;;;;1,2-Bis(decanoyloxy)hexane;;BLEACHING;7/23/14
